"id","email","password","fullname","dob","gender","address","phonenumber","role","status","17","lqhuy2309123@gmail.com","$2a$10$ndomDZ2bSrai54zsttO23eD3WFqela5ZJUC/o.vJertCUqvaavEWO","A","6/30/2003 7:00","t","1","1111111111","ADMIN","f","2003-06-30 07:00:00"
7,admin1@gmail.com,$2a$10$gzBfiRgHf87d7ud4lFSkZuj6uyTHADxm2teGmtBIn8QHr7nN9kpNG,Ad Văn Min 1,2003-07-02 07:00:00.000,false,Thủ thừa,"123456789122",ADMIN,true,,,,,,,,,,,
5,nguyenvanc@gmail.com,$2a$10$yojInWL4x890cqsb5xd0yOcf/g6Uy/FvNgJPnOXjGlL/VZ9VUK7W2,Nguyễn Văn C,1999-02-02 00:00:00.000,false,Quan 9,"90",USER,true,,,,,,,,,,,
10,q@gmail.com,$2a$10$Pt2RE5CNPSOZh1HC4cvLEOWK7v6EYM7M9G2omKBn4ffKZtzIggXSm,A,2000-01-01 07:00:00.000,false,a,"0222222222",STAFF,true,,,,,,,,,,,
4,nguyenvanb@gmail.com,$2a$10$woAJ4lGzz0C4opVW9d2bx.jDaR/6c5uqRfuGhx90xvZ5hnZonvOUC,Nguyễn Văn B,1999-02-01 00:00:00.000,true,Quan 9,"90",USER,true,,,,,,,,,,,
8,nguyenvane@gmail.com,$2a$10$v.urwm37FwAuOKbAhHBUv.z4VFDlVw5rVP04pRBA1NrvYRShBQR0y,Nguyễn Văn E,2021-07-01 00:00:00.000,false,Trà Vinh,"0903617456",USER,true,,,,,,,,,,,
9,nguyenvanh@gmail.com,$2a$10$nckKY8Hc4ptUyBOCgeAyz.1/zBdfHtxAQccEHkxCBo8.VGZC6TOGS,Nguyen van FA,2021-04-26 00:00:00.000,false,A,"12123",USER,true,,,,,,,,,,,
2,shynhyn319@gmail.com,$2a$10$l4LGql2yMSf2kR7z1LfkZusOGv5Qf7CF5IG9YjEPGhlMt4Q9Q/OfW,Lê Hoàng Nhật Lâm,1999-02-01 00:00:00.000,false,Quan 9,"9000000000",ADMIN,true,,,,,,,,,,,
6,nguyenvand@gmail.com,$2a$10$sX2.tKO6uetkdJSIfG5Aaet0iknSjGm1T3DK8ZmaiAihraenTup4y,Nguyễn Văn D1,1999-04-29 00:00:00.000,true,Quan 9,"90",USER,false,,,,,,,,,,,
3,nguyenvana@gmail.com,$2a$10$/xg7mg7vUx7o34TZ1yBa9enWX6TvKvfqcONywcJP8c396TWK16pQy,Nguyễn Văn A1,1999-02-01 00:00:00.000,false,Quan 9,"90",USER,false,,,,,,,,,,,
19,l@gmail.com,$2a$10$52PfY1RQZZX8PUTokGaw3ufUsqDeIzLMywhI5I5dSi.hMds/nHLPC,E,2000-01-01 07:00:00.000,false,"1","1111111111",ADMIN,true,,,,,,,,,,,
20,po@gmail.com,$2a$10$UbKyAAEuZDuXmnLW99eYqOP2X12tXGBLEW2JyRdQjWrIXMQ3wimDm,Po,2003-02-02 07:00:00.000,true,"1","0101020447",USER,true,,,,,,,,,,,
21,po1a@gmail.com,$2a$10$rd159/3iMlpv2WGpc3wM.uN4uE8wd8ne/.hVAUNXzVjVdCOOjKB2y,ppo1a,2003-02-02 07:00:00.000,true,"1","1111111111",USER,true,,,,,,,,,,,
18,lqhuy2309@gmail.com,$2a$10$mF9GHxC1t3Wce4n1.6BLbOks.KWN2JZ94hJ4.Gwy5VIV3TAA.1n0y,Lương Quang Huy,1999-09-22 07:00:00.000,false,Long An,"0967141557",USER,true,,,,,,,,,,,
11,tranvana@gmail.com,$2a$10$6CPtRlTWQ/sh9iaILwJfNureof.WbEDRmEDJpQtjYx7I1N29/iYAm,A,2021-07-21 00:00:00.000,false,a,"1111111111",ADMIN,true,,,,,,,,,,,
12,tranvana1@gmail.com,$2a$10$BBmKJVQ/3OCmZRurfQwH5OddKqyxSVYHN9Gy8L3sqArT90zEKuIy6,A,2003-07-20 07:00:00.000,false,a,"1111111111",ADMIN,true,,,,,,,,,,,
13,m@gmail.com,$2a$10$FKShuLVqTZwyaICEIYlTduTHn4TxSRe8C39CqsAVLez0pkd9jYdpq,Trịnh Quốc Cường,2021-07-11 00:00:00.000,false,Bình Dương,"1111111111",USER,true,,,,,,,,,,,
14,a@gmail.com,$2a$10$pc1mi.Eo5zAJ0m3iqfK7vuyk8F4/7F4cV7h0aZPRveNnAKk0YIuvm,a,2003-07-14 07:00:00.000,true,"1","1111111111",STAFF,true,,,,,,,,,,,
15,a1@gmail.com,$2a$10$.7jmZ5R0KpRg.rrBfhwI9uy0ydBdWte5YBLc8vdBhUkfd1HVsMmEm,a,2003-07-01 07:00:00.000,false,"11111111111","1111111111",ADMIN,true,,,,,,,,,,,
16,lqhuy23091@gmail.com,$2a$10$R2A7bxmPVdwda9hHAYhc4u.5dV/xVNcuDGXvzOMixsDBMFEt.AkSO,Huy,2021-07-24 00:00:00.000,false,"1111","0123456789",USER,true,,,,,,,,,,,
